Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,54.8769563232385,70.5958210318064,87.2042459290823,88.4740800486988,89.693720894841,90.9041515751027,92.1350235884949,93.3946248668391,94.6736508902755,95.9628214883579,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,743.86,931.326666666667,1268.31666666667,1324.12333333333,1385.31,1450.05,1516.38333333333,1585.04333333333,1654.67333333333,1718.98666666667,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,6.92507970070235,8.97109876330735,12.7148976798695,13.0959104729591,13.4813955203698,13.8783468148403,14.2918545472426,14.7234684762209,15.1717306321147,15.635015858186,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1106.78125,1219.021875,1300.8375,1312.5875,1331.146875,1357.99375,1390.790625,1422.9875,1462.496875,1514.46875,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,..,281.961111111111,314.061111111111,315.094444444444,316.322222222222,317.661111111111,319.105555555556,320.75,322.544444444444,324.516666666667,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,1.97375181915203,2.55187639468322,3.49146017269817,3.59615212962065,3.70378771708548,3.81381197244591,3.92577956728437,4.03952071407781,4.15501503832347,4.27216357815077,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,521.564039408867,584.666502463054,616.947783251231,618.661083743842,620.026108374384,621.149753694581,621.972906403941,622.400492610837,622.962068965517,623.30197044335,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,43.1817340980992,50.8757143959464,59.5156629542941,60.3277630597495,61.1266550065588,61.9126664780473,62.6859013863525,63.4447264590139,64.1875171686515,64.9146264050001,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,..,153.431428571429,147.785714285714,149.294285714286,151.322857142857,153.494285714286,155.564285714286,157.45,159.227142857143,160.914285714286,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,103.42763089142,101.813664379984,99.6909052881096,99.6430985817333,99.5470278928858,99.5210227470652,98.7400285644616,97.6127773713728,95.9751280175567,94.2644302783293,94.018880412443,..
